val,ind0,ind1,ind2
0.53451,0.53459,0.53447,0.53459
0.53457,0.53458,0.53445,0.53449
0.5345,0.53462,0.5345,0.53457
0.53446,0.53456,0.53445,0.53452
0.53447,0.5345,0.53425,0.53445
0.53449,0.53452,0.53444,0.53447
0.53459,0.5346,0.53448,0.5345
0.53452,0.53458,0.53451,0.53458
0.53456,0.53457,0.53449,0.53453
0.53464,0.53465,0.53454,0.53456
0.53451,0.53466,0.5345,0.53465
0.53453,0.53453,0.53444,0.5345
0.53454,0.53458,0.53449,0.53452
0.53458,0.5346,0.53454,0.53455
0.53465,0.53466,0.53458,0.53458
0.53466,0.53467,0.53464,0.53467
0.53477,0.53479,0.53466,0.53466
0.53464,0.53478,0.53464,0.53476
0.53473,0.53474,0.53466,0.53467
0.53469,0.53479,0.53468,0.53473
0.53462,0.5348,0.53459,0.53469
0.53469,0.53471,0.53461,0.53462
0.53468,0.5347,0.53459,0.5347
0.53467,0.53474,0.53464,0.53467
0.53467,0.53471,0.53464,0.53466
0.53461,0.53474,0.5346,0.53463
0.5347,0.5347,0.53458,0.5346
0.53471,0.53474,0.53466,0.53471
0.53484,0.53484,0.53463,0.53471
0.53485,0.53492,0.53478,0.53484
0.53507,0.53519,0.53486,0.53488
0.53546,0.53553,0.53498,0.53507
0.53602,0.53652,0.5354,0.53546
0.53584,0.53613,0.53584,0.53602
0.53573,0.53585,0.53571,0.53583
0.53574,0.53576,0.53564,0.53571
0.53583,0.53586,0.53571,0.53574
0.53569,0.53585,0.53567,0.53583
0.53544,0.5357,0.53528,0.53567
0.53547,0.53553,0.53529,0.53544
0.53564,0.53565,0.53549,0.53549
0.53578,0.5358,0.53558,0.53563
0.53571,0.53579,0.53557,0.53575
0.53553,0.53578,0.53552,0.53573
0.53542,0.53553,0.53537,0.53552
0.53538,0.53557,0.53538,0.53547
0.53533,0.53549,0.53533,0.53536
0.53536,0.53542,0.53521,0.53533
0.53534,0.53544,0.53526,0.53536
0.5354,0.53543,0.53523,0.53535
0.53538,0.53557,0.53534,0.53537
0.53544,0.53548,0.53537,0.53538
0.53552,0.53564,0.53541,0.53548
0.53551,0.53561,0.53541,0.53553
0.53551,0.53558,0.53551,0.53553
0.5356,0.53561,0.53546,0.53552
0.53571,0.53571,0.53557,0.53561
0.53604,0.53607,0.53569,0.53572
0.53598,0.53609,0.53597,0.53603
0.53603,0.53618,0.53593,0.53599
0.53591,0.53614,0.53588,0.53604
0.53612,0.53612,0.53587,0.53592
0.53611,0.53624,0.53596,0.53611
0.53604,0.53626,0.53603,0.53611
0.53597,0.53618,0.53597,0.53605
0.53607,0.53615,0.53597,0.53597
0.53615,0.53625,0.53606,0.53609
0.53606,0.53622,0.53605,0.53615
0.53602,0.53609,0.53592,0.53608
0.53606,0.5361,0.53602,0.53602
0.53617,0.53625,0.53606,0.53606
0.53672,0.5368,0.53617,0.53617
0.53692,0.53702,0.5367,0.53672
0.53685,0.53696,0.53685,0.53692
0.53635,0.53685,0.53628,0.53685
0.5363,0.53648,0.53627,0.53635
0.53631,0.53638,0.53627,0.5363
0.53637,0.53639,0.53626,0.53631
0.53633,0.53642,0.53627,0.53638
0.53625,0.53638,0.53621,0.53633
0.53646,0.53652,0.53625,0.53626
0.53661,0.53672,0.53647,0.53647
0.53643,0.53665,0.53629,0.53661
0.53617,0.53647,0.53616,0.53645
0.53637,0.53638,0.53618,0.53619
0.53638,0.53642,0.53635,0.53637
0.53641,0.5365,0.53638,0.53638
0.53652,0.53658,0.53641,0.53642
0.5366,0.53661,0.53651,0.53652
0.53645,0.53663,0.53644,0.53661
0.53636,0.53648,0.53636,0.53645
0.53636,0.53643,0.5362,0.53636
0.53647,0.53653,0.53633,0.53636
0.53648,0.53656,0.53644,0.53647
0.53649,0.5365,0.53647,0.53649
0.53652,0.53654,0.53643,0.53649
0.53635,0.53653,0.53622,0.53653
0.53623,0.53644,0.53619,0.53638
0.53612,0.53625,0.53611,0.53622
0.53618,0.53621,0.53609,0.53613
0.53631,0.53631,0.53617,0.53618
0.53631,0.53637,0.53631,0.53634
0.53638,0.53643,0.53631,0.53632
0.53626,0.53638,0.53624,0.53638
0.53632,0.53632,0.53621,0.53626
0.53625,0.53632,0.53625,0.53631
0.53619,0.53626,0.5361,0.53626
0.5361,0.53621,0.53608,0.53616
0.53604,0.53613,0.53603,0.53611
0.53606,0.53606,0.53599,0.53603
0.53616,0.53624,0.53604,0.53604
0.53627,0.53629,0.53616,0.53617
0.53642,0.53645,0.53627,0.53629
0.53636,0.53645,0.53635,0.53642
0.53626,0.53643,0.53626,0.53637
0.53642,0.53643,0.53625,0.53627
0.53631,0.53644,0.53631,0.53642
0.53614,0.53635,0.53612,0.53632
0.53615,0.53622,0.53605,0.53614
0.53621,0.53625,0.53615,0.53615
0.53612,0.53624,0.5361,0.53622
0.5361,0.53619,0.53607,0.5361
0.53608,0.53614,0.53604,0.53609
0.53617,0.53619,0.53608,0.53608
0.53619,0.53622,0.53617,0.53618
0.53625,0.53626,0.53616,0.5362
0.53608,0.53625,0.53605,0.53625
0.53605,0.53609,0.53603,0.53609
0.53594,0.53609,0.53593,0.53604
0.53574,0.53597,0.53573,0.53595
0.53568,0.53579,0.53566,0.53575
0.53572,0.53574,0.53563,0.53568
0.53577,0.53578,0.53569,0.53574
0.53582,0.53584,0.53574,0.53577
0.53588,0.53588,0.53582,0.53583
0.5359,0.53591,0.53588,0.53588
0.53592,0.536,0.53589,0.5359
0.53609,0.53615,0.53592,0.53592
0.536,0.53612,0.53597,0.53609
0.53605,0.53609,0.53598,0.53599
0.5361,0.53612,0.53605,0.53605
0.5361,0.53614,0.53607,0.5361
0.53623,0.53629,0.53609,0.53609
0.53625,0.5363,0.53623,0.53625
0.53641,0.53644,0.53622,0.53625
0.53625,0.53637,0.53619,0.53637
0.53619,0.53626,0.53616,0.53625
0.53628,0.53642,0.53618,0.53619
0.53628,0.53632,0.53626,0.53627
0.53629,0.53632,0.53623,0.53628
0.53628,0.53634,0.53628,0.53629
0.53632,0.53634,0.53628,0.53629
0.53638,0.53638,0.53633,0.53633
0.53633,0.53641,0.53632,0.53641
0.53633,0.53634,0.53628,0.53633
0.53641,0.53641,0.53631,0.53632
0.53644,0.53649,0.53641,0.53641
0.5367,0.53675,0.53641,0.53642
0.53661,0.53671,0.53658,0.5367
0.53658,0.53663,0.53651,0.5366
0.53679,0.53683,0.5366,0.53661
